account_id,created_date,account_balance,login_count,email_address,segment_id,satisfaction_score
ACC-000151,2022-12-14,-7826.47,181,ltuq@yahoo.com,SEG01,9.0
ACC-000152,2023-06-03,-3791.93,161,mtinr@outlook.com,SEG03,7.32
ACC-000153,2022-12-25,-7003.81,97,jonfb@corp.io,SEG03,3.24
ACC-000154,2023-10-20,-598.66,106,exjvtsu@corp.io,SEG02,5.53
ACC-000155,2024-10-30,-7374.49,159,zjnifwx@gmail.com,SEG05,5.63
ACC-000156,2024-02-08,-6684.82,3,sqffdo@corp.io,SEG04,4.63
ACC-000157,2024-09-05,-4013.56,197,bzbn@yahoo.com,SEG02,8.92
ACC-000158,2023-06-28,-3849.43,154,cnfvpohr@outlook.com,SEG04,6.42
ACC-000159,2022-10-26,-700.25,52,pymnb@outlook.com,SEG02,5.41
ACC-000160,2024-01-20,-4456.85,35,dbotr@corp.io,SEG01,5.39
ACC-000161,2024-11-22,-4649.63,193,pzhy@gmail.com,SEG05,7.05
ACC-000162,2023-12-17,-935.59,199,xjvuejwg@outlook.com,SEG01,1.29
ACC-000163,2022-11-26,-2017.81,185,njipvvhv@outlook.com,SEG03,8.77
ACC-000164,2024-03-17,-7813.77,151,rapnhkg@gmail.com,SEG04,9.53
ACC-000165,2023-01-11,-2818.88,109,hipzu@outlook.com,SEG04,4.11
ACC-000166,2023-10-30,-8708.66,152,ovxdad@gmail.com,SEG04,2.13
ACC-000167,2024-07-20,-3585.68,200,xniza@outlook.com,SEG02,6.79
ACC-000168,2023-08-16,1053.4,14,rnzfjgpk@gmail.com,UNKNOWN04,9.13
ACC-000169,2024-01-08,2900.25,75,pvwja@outlook.com,UNKNOWN01,7.7
ACC-000170,2024-11-16,8187.14,68,vsode@corp.io,UNKNOWN04,6.61
ACC-000171,2022-09-24,308.68,163,jqifuurt@gmail.com,UNKNOWN02,7.89
ACC-000172,2022-04-10,7245.26,115,vkmg@gmail.com,UNKNOWN05,7.23
ACC-000173,2022-12-11,8035.31,119,qlaabhip@gmail.com,UNKNOWN01,8.44
ACC-000174,2024-09-15,2603.28,74,axoxs@yahoo.com,UNKNOWN03,2.23
ACC-000175,2023-11-02,4049.51,145,whab@gmail.com,UNKNOWN02,4.25
ACC-000176,2024-07-28,7146.52,37,wonrtuo@outlook.com,UNKNOWN05,6.15
ACC-000177,2022-10-19,5059.41,178,pjbmal@outlook.com,UNKNOWN05,4.95
ACC-000178,2024-08-16,7047.84,147,zeogchs@yahoo.com,UNKNOWN03,1.77
ACC-000179,2022-06-19,8171.21,146,pxtgm@gmail.com,UNKNOWN02,3.32
ACC-000180,2022-02-10,697.27,176,ptalsbr@yahoo.com,UNKNOWN03,7.55
ACC-000181,2022-04-21,6930.4,72,xgvo@gmail.com,UNKNOWN04,8.23
ACC-000182,2023-11-19,5178.3,58,hpte@corp.io,UNKNOWN04,4.55
ACC-000183,2022-12-26,5286.62,60,muhapxww@corp.io,UNKNOWN03,3.49
ACC-000184,2024-02-25,5591.88,38,bujidl@outlook.com,UNKNOWN02,1.0
ACC-000185,2023-10-01,520.03,189,frtvyg@gmail.com,UNKNOWN01,4.84
ACC-000186,2023-01-05,874.4,92,klmwkt@yahoo.com,SEG04,13.69
ACC-000187,2022-07-31,9356.69,180,ytolrl@corp.io,SEG02,-5.83
ACC-000188,2024-07-19,7967.74,190,sbawnr@corp.io,SEG02,20.73
ACC-000189,2024-09-08,6618.56,186,khxqdv@corp.io,SEG01,22.1
ACC-000190,2024-07-18,3309.28,157,nvjmkqr@yahoo.com,SEG03,-10.11
ACC-000191,2023-05-21,1338.36,103,zzrsikrm@yahoo.com,SEG05,-5.96
ACC-000192,2022-12-30,5712.2,23,ycqvomq@yahoo.com,SEG05,-1.25
ACC-000193,2023-07-16,9370.9,147,wtclb@outlook.com,SEG02,15.1
ACC-000194,2024-08-13,7744.76,37,mewagd@outlook.com,SEG03,12.4
ACC-000195,2023-03-23,3110.55,72,ofpj@corp.io,SEG05,21.57
ACC-000196,2024-02-08,4734.65,33,ubcq@outlook.com,SEG04,-7.92
ACC-000197,2023-01-02,8624.56,6,yjcurytc@corp.io,SEG01,16.28
ACC-000198,2024-11-12,140.48,77,hhlbdph@outlook.com,SEG02,-3.65
ACC-000199,2022-12-19,4403.94,151,ebbc@outlook.com,SEG01,12.93
ACC-000200,2022-03-16,7239.86,56,xfnj@outlook.com,SEG02,18.0
ACC-000201,2022-09-03,9888.15,50,nzxpawwk@outlook.com,SEG04,-2.18
ACC-000202,2024-07-14,678.72,1005,hecl@gmail.com,SEG01,7.31
ACC-000203,2022-10-25,1409.54,998,ofefct@yahoo.com,SEG05,2.65
ACC-000204,2022-04-09,7904.75,907,ajchbysi@outlook.com,SEG03,1.91
ACC-000205,2022-06-30,8918.75,829,awoce@yahoo.com,SEG01,7.68
ACC-000206,2024-10-28,9859.61,765,yfgw@yahoo.com,SEG03,1.76
ACC-000207,2024-12-04,3164.09,636,qfsbtfw@gmail.com,SEG01,7.69
ACC-000208,2024-10-25,3362.83,851,sojnruch@gmail.com,SEG04,7.45
ACC-000209,2024-11-04,1072.86,847,djkhdho@gmail.com,SEG03,8.26
ACC-000210,2023-09-25,5695.35,606,tagbgaxp@corp.io,SEG02,3.93
ACC-000211,2024-09-01,5616.33,967,wuljljvb@corp.io,SEG03,1.49
ACC-000212,2024-01-29,5573.7,773,ijhqtdl@corp.io,SEG04,6.0
ACC-000213,2023-10-29,2010.36,923,gcgzhqq@gmail.com,SEG05,6.98
ACC-000214,2022-03-28,9321.98,786,axrlvyq@outlook.com,SEG03,3.1
ACC-000215,2023-11-02,3167.58,789,fwabwz@gmail.com,SEG03,5.66
ACC-000216,2023-09-02,9188.89,613,euoml@corp.io,SEG02,3.74
ACC-000217,2023-01-08,2038.06,628,ukvmooa@gmail.com,SEG02,8.08
ACC-000218,2022-04-15,237.01,715,vmuk@outlook.com,SEG04,5.49
ACC-000219,2022-04-03,7256.07,1194,zqxwi@outlook.com,SEG03,8.96
ACC-000220,2024-04-20,7574.32,1193,xrknprif@outlook.com,SEG05,4.27
ACC-000221,2023-11-30,7853.67,1134,xkezw@corp.io,SEG01,5.76
ACC-000222,2022-04-22,8559.68,1008,vhgjv@yahoo.com,SEG04,2.33
ACC-000223,2023-07-09,4777.31,791,bquuq@gmail.com,SEG04,5.68
USR-587465,2024-06-11,1821.36,82,sdmgpge@outlook.com,SEG05,6.38
USR-183104,2022-08-04,3801.86,172,wnab@gmail.com,SEG05,8.91
USR-596413,2023-08-15,794.91,54,kayu@outlook.com,SEG03,1.16
USR-899234,2023-04-11,4884.77,193,ocskwgb@yahoo.com,SEG04,1.09
USR-592892,2023-08-27,4188.83,109,evfgr@yahoo.com,SEG01,6.86
USR-976883,2024-04-30,5476.1,171,cyoxx@corp.io,SEG01,4.34
USR-427236,2022-08-20,5062.41,5,qpkdv@gmail.com,SEG02,3.27
USR-596429,2022-12-12,4008.12,87,uafrqa@outlook.com,SEG05,2.11
USR-936395,2024-06-19,5257.95,69,vyjcc@yahoo.com,SEG04,5.37
USR-861396,2022-11-16,4991.23,132,cccxsn@gmail.com,SEG05,9.34
ACC-000234,2024-08-29,8420.8,24,wxmjoyi@corp.io,SEG01,4.7
ACC-000235,2022-02-21,8156.95,134,nfwesaah@gmail.com,SEG04,4.85
ACC-000236,2022-04-21,6561.98,36,tovmrqrp@corp.io,SEG02,9.59
ACC-000237,2024-03-29,7137.8,3,xxjfxfr@corp.io,SEG05,9.97
ACC-000238,2023-01-16,1918.41,102,prmnylvj@gmail.com,SEG02,9.65
ACC-000239,2023-04-30,7009.3,121,pbefba@corp.io,SEG02,2.54
ACC-000240,2022-10-24,3780.88,129,fbedxq@yahoo.com,SEG01,2.25
ACC-000241,2024-08-07,9836.81,136,cewz@yahoo.com,SEG05,6.29
ACC-000242,2023-12-20,7957.91,74,lrtdxhai@corp.io,SEG05,2.83
ACC-000243,2023-01-09,9574.03,98,iobzv@gmail.com,SEG02,1.29
ACC-000244,2022-11-21,2647.61,101,hbsb@yahoo.com,SEG01,4.3
ACC-000245,2023-09-05,7434.05,95,djzyld@corp.io,SEG02,7.94
ACC-000246,2022-10-21,5451.67,68,qzva@outlook.com,SEG04,4.51
ACC-000247,2024-08-14,4490.82,192,cxvfcpe@corp.io,SEG04,9.03
ACC-000248,2023-04-20,9212.64,166,fcif@gmail.com,SEG04,1.8
ACC-000249,2024-06-13,4486.56,30,mddcdz@outlook.com,SEG01,1.73
ACC-000250,2024-01-20,3094.88,126,gcpr@yahoo.com,SEG03,9.37
ACC-000251,2024-03-21,7190.89,7,djiivv@yahoo.com,SEG05,6.44
ACC-000252,2023-09-26,1600.57,185,exru@yahoo.com,SEG04,3.29
ACC-000253,2023-03-24,3757.88,72,reisnuko@gmail.com,SEG01,3.51
ACC-000254,2022-05-24,9056.66,99,jwist@outlook.com,SEG04,1.31
ACC-000255,2024-06-12,2412.25,118,jskv@gmail.com,SEG02,6.04
ACC-000256,2024-05-29,1811.44,87,awkjo@gmail.com,SEG02,2.63
ACC-000257,2024-12-18,1787.14,35,cugkyn@yahoo.com,SEG05,6.86
ACC-000258,2023-10-19,2998.75,3,zask@gmail.com,SEG04,8.01
ACC-000259,2024-02-03,2673.59,186,gdgcsm@gmail.com,SEG01,9.4
ACC-000260,2024-04-04,4226.1,22,jqupdtsz@corp.io,SEG05,7.67
ACC-000261,2023-02-06,4820.43,1,vypquqob@yahoo.com,SEG01,8.48
ACC-000262,2022-07-13,1920.32,75,ezrqs@gmail.com,SEG04,5.14
ACC-000263,2023-05-17,1712.78,4,tjzrdx@yahoo.com,SEG01,8.54
ACC-000264,2023-09-14,1049.55,119,mizmmaj@yahoo.com,SEG01,7.86
ACC-000265,2024-11-04,4398.06,81,ohbaiulv@outlook.com,SEG05,4.86
